ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,69.83,3.0,12.0,16.0,3.899620363498144,0,0,0,1,0,0,1,0,7,735788.7727337821
2.75,80.0,3.0,9.0,4.0,8.014217656986427,0,1,0,0,0,0,1,0,7,521250.0
3.0,69.0,3.0,9.0,7.0,7.223812041542382,0,1,0,0,0,0,1,0,7,956521.7391304348
2.8,65.0,2.0,9.0,5.0,2.60736802143673,0,0,0,0,0,0,0,0,6,600000.0
3.0,59.0,2.0,9.0,6.0,2.710794826871281,0,0,1,0,0,0,1,0,7,822033.8983050848
3.0,125.0,4.0,10.0,7.0,3.577996908827442,0,0,1,0,0,0,0,0,7,1160000.0
2.7,68.0,2.0,12.0,12.0,5.122586448191085,0,0,1,0,0,0,1,0,6,470588.23529411765
2.7,57.0,3.0,10.0,9.0,5.709003657691745,0,0,0,0,0,0,1,0,6,508771.9298245614
3.0,52.0,2.0,16.0,10.0,4.887043022088489,0,0,0,0,0,0,1,0,7,625000.0
3.0,133.9,4.0,12.0,10.0,3.0064562746715904,0,0,1,0,0,0,1,0,7,1194921.5832710979
2.65,103.5,4.0,9.0,9.0,5.856187934933634,0,1,0,0,0,0,1,0,7,498000.0
2.5,51.2,3.0,5.0,1.0,4.883184882451419,0,0,0,0,0,1,1,0,2,482421.875
3.0,82.0,4.0,10.0,6.0,4.405276067033327,0,0,1,0,0,0,1,0,6,609743.9024390244
3.0,83.46,3.0,8.0,7.0,5.850314238910643,0,1,0,0,0,0,1,0,7,500000.00000000006
3.0,128.5,4.0,10.0,6.0,3.4819907605630975,0,0,1,0,0,0,0,0,6,665369.6498054474
2.7,35.0,1.0,9.0,7.0,4.659221895348886,0,0,0,0,0,1,0,0,7,600000.0
2.7,60.0,2.0,9.0,6.0,4.691988207511253,0,0,0,0,0,1,0,0,6,408333.3333333333
3.0,100.0,3.0,9.0,3.0,3.8223513183953615,0,1,0,0,0,0,1,0,6,652000.0
3.0,45.0,2.0,9.0,8.0,6.412664327982825,0,1,0,0,0,0,0,0,7,837777.7777777778
2.6,70.0,3.0,5.0,4.0,3.426256089969003,0,0,0,0,0,0,0,1,4,428571.4285714286
3.0,50.0,2.0,12.0,3.0,3.5273181224682224,0,0,1,0,0,0,0,0,7,814000.0
2.7,40.4,1.0,25.0,7.0,4.754863133694231,0,0,0,0,0,1,1,0,5,445544.55445544556
2.7,70.0,3.0,22.0,14.0,1.1863773461325489,0,1,0,0,0,0,1,0,7,711428.5714285715
3.0,98.53,3.0,10.0,17.0,7.477590036522256,0,0,0,1,0,0,0,0,7,460000.0
3.0,35.1,1.0,11.0,12.0,4.651642201210934,0,0,1,0,0,0,1,0,7,747122.5071225071
3.0,52.4,2.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,804000.0
3.0,82.47,3.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,534000.0
3.0,148.37,4.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,951000.0
2.7,42.5,1.0,5.0,2.0,6.299843012016056,0,0,1,0,0,0,0,0,7,450000.0
2.7,36.1,1.0,9.0,9.0,6.524306090849666,0,0,0,1,0,0,0,0,7,540166.2049861496
2.8,138.8,4.0,5.0,3.0,5.957902854384835,0,0,0,0,0,0,0,0,5,432276.6570605187
2.7,105.0,3.0,10.0,1.0,4.77180512581916,0,0,0,0,0,1,1,0,5,446666.6666666667
3.0,40.0,2.0,12.0,2.0,4.041177554838457,0,0,1,0,0,0,1,0,6,772500.0
2.75,58.5,2.0,5.0,2.0,6.296987670186835,0,0,1,0,0,0,0,0,7,450000.0
2.7,24.5,1.0,5.0,4.0,6.303033076677574,0,0,1,0,0,0,0,0,7,530612.2448979592
2.7,70.0,2.0,14.0,9.0,0.9571282512823865,0,1,0,0,0,0,1,0,6,600000.0
3.0,100.8,3.0,20.0,9.0,4.227792748806829,0,0,0,0,1,0,1,0,6,575396.8253968254
3.0,86.0,3.0,9.0,7.0,0.6537594532107448,0,1,0,0,0,0,1,0,7,988372.0930232558
2.7,55.0,2.0,8.0,5.0,6.034467301292138,0,0,0,0,0,0,0,0,5,418181.8181818182
2.7,36.0,1.0,9.0,8.0,4.659221895348886,0,0,0,0,0,1,0,0,7,644444.4444444445
2.7,49.4,1.0,9.0,3.0,6.487328569608524,0,0,0,0,0,0,1,0,5,497975.7085020243
2.8,38.0,1.0,6.0,6.0,4.8197824767095145,0,0,0,1,0,0,0,0,6,552631.5789473684
3.0,35.14,1.0,8.0,7.0,5.863367963414951,0,1,0,0,0,0,1,0,7,500000.0
3.0,89.04,2.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,830999.9999999999
2.7,31.28,1.0,9.0,9.0,8.145237274207853,0,0,0,1,0,0,1,0,7,360000.0
3.0,108.0,3.0,23.0,15.0,1.1298145620980478,0,1,0,0,0,0,1,0,7,1202777.7777777778
2.7,60.0,2.0,10.0,9.0,5.853741467750691,0,0,0,0,1,0,0,0,6,386666.6666666667
